Age,Gender,Education_Level_Code,Education_Level,Job Title,Years of Experience,Salary,Country,Race,Senior,PPP_Index,Salary_PPP_Adjusted,Fake_Job_Risk
39.0,Female,1.0,Bachelors,Account Executive,12.0,95000.0,USA,African American,1.0,1.0,95000.0,0
32.0,Male,1.0,Bachelors,Account Manager,5.0,75000.0,Australia,Asian,0.0,1.05,71428.57142857142,0
32.0,Female,1.0,Bachelors,Account Manager,5.0,55000.0,Australia,Asian,0.0,1.05,52380.95238095238,0
32.0,Male,,Bachelor's,Account Manager,5.0,75000.0,Australia,Asian,1.0,1.05,71428.57142857142,0
40.0,Female,1.0,Bachelors,Account Manager,14.0,110000.0,Australia,Australian,1.0,1.05,104761.90476190476,0
27.0,Male,1.0,Bachelors,Account Manager,2.0,45000.0,Canada,White,0.0,1.1,40909.090909090904,0
26.0,Male,1.0,Bachelors,Accountant,1.0,35000.0,Australia,Australian,0.0,1.05,33333.33333333333,0
36.0,Male,1.0,Bachelors,Accountant,7.0,90000.0,Canada,White,1.0,1.1,81818.18181818181,0
26.0,Male,1.0,Bachelors,Accountant,2.0,40000.0,UK,White,0.0,1.2,33333.333333333336,0
31.0,Female,1.0,Bachelors,Accountant,4.0,55000.0,UK,White,0.0,1.2,45833.333333333336,0
31.0,Male,1.0,Bachelors,Accountant,4.0,50000.0,UK,Welsh,0.0,1.2,41666.66666666667,0
31.0,Female,,Bachelor's,Accountant,4.0,55000.0,UK,White,0.0,1.2,45833.333333333336,0
38.0,Female,1.0,Bachelors,Accountant,10.0,80000.0,USA,African American,1.0,1.0,80000.0,0
39.0,Female,1.0,Bachelors,Administrative Assistant,10.0,55000.0,Canada,Black,0.0,1.1,49999.99999999999,0
39.0,Female,,Bachelor's,Administrative Assistant,10.0,55000.0,Canada,Black,0.0,1.1,49999.99999999999,0
36.0,Female,1.0,Bachelors,Administrative Assistant,8.0,45000.0,UK,Asian,0.0,1.2,37500.0,0
36.0,Female,,Bachelor's,Administrative Assistant,8.0,45000.0,UK,Asian,0.0,1.2,37500.0,0
30.0,Male,1.0,Bachelors,Advertising Coordinator,3.0,45000.0,UK,White,0.0,1.2,37500.0,0
23.0,Female,1.0,Bachelors,Back end Developer,1.0,55000.0,Australia,Asian,0.0,1.05,52380.95238095238,0
24.0,Female,1.0,Bachelors,Back end Developer,1.0,60000.0,Australia,Australian,0.0,1.05,57142.85714285714,0
24.0,Female,1.0,Bachelors,Back end Developer,1.0,61095.0,Australia,Asian,0.0,1.05,58185.71428571428,0
23.0,Female,0.0,Unknown,Back end Developer,1.0,52807.0,Australia,White,0.0,1.05,50292.38095238095,0
23.0,Female,,Bachelor's Degree,Back end Developer,1.0,55000.0,Australia,Asian,0.0,1.05,52380.95238095238,0
24.0,Female,,Bachelor's Degree,Back end Developer,1.0,60000.0,Australia,Australian,0.0,1.05,57142.85714285714,0
24.0,Female,,Bachelor's Degree,Back end Developer,1.0,61095.0,Australia,Asian,0.0,1.05,58185.71428571428,0
23.0,Female,5.0,High School,Back end Developer,1.0,52807.0,Australia,White,0.0,1.05,50292.38095238095,0
27.0,Female,2.0,Masters,Back end Developer,2.0,65000.0,Australia,Asian,0.0,1.05,61904.7619047619,0
27.0,Male,1.0,Bachelors,Back end Developer,2.0,75000.0,Australia,Asian,0.0,1.05,71428.57142857142,0
27.0,Female,2.0,Masters,Back end Developer,2.0,70000.0,Australia,Australian,0.0,1.05,66666.66666666666,0
27.0,Female,,Master's Degree,Back end Developer,2.0,65000.0,Australia,Asian,0.0,1.05,61904.7619047619,0
27.0,Male,,Bachelor's Degree,Back end Developer,2.0,75000.0,Australia,Asian,0.0,1.05,71428.57142857142,0
27.0,Female,,Master's Degree,Back end Developer,2.0,70000.0,Australia,Australian,0.0,1.05,66666.66666666666,0
29.0,Female,1.0,Bachelors,Back end Developer,3.0,85000.0,Australia,Australian,0.0,1.05,80952.38095238095,0
29.0,Female,2.0,Masters,Back end Developer,3.0,90000.0,Australia,White,0.0,1.05,85714.28571428571,0
27.0,Male,1.0,Bachelors,Back end Developer,3.0,85000.0,Australia,Asian,0.0,1.05,80952.38095238095,0
29.0,Female,2.0,Masters,Back end Developer,3.0,90000.0,Australia,Asian,0.0,1.05,85714.28571428571,0
27.0,Male,1.0,Bachelors,Back end Developer,3.0,80000.0,Australia,White,0.0,1.05,76190.47619047618,0
27.0,Male,1.0,Bachelors,Back end Developer,3.0,80000.0,Australia,Australian,0.0,1.05,76190.47619047618,0
27.0,Male,1.0,Bachelors,Back end Developer,3.0,80000.0,Australia,Asian,0.0,1.05,76190.47619047618,0
29.0,Female,,Bachelor's Degree,Back end Developer,3.0,85000.0,Australia,Australian,0.0,1.05,80952.38095238095,0
29.0,Female,,Master's Degree,Back end Developer,3.0,90000.0,Australia,White,0.0,1.05,85714.28571428571,0
27.0,Male,,Bachelor's Degree,Back end Developer,3.0,85000.0,Australia,Asian,0.0,1.05,80952.38095238095,0
29.0,Female,,Master's Degree,Back end Developer,3.0,90000.0,Australia,Asian,0.0,1.05,85714.28571428571,0
27.0,Male,,Bachelor's Degree,Back end Developer,3.0,80000.0,Australia,White,0.0,1.05,76190.47619047618,0
27.0,Male,,Bachelor's Degree,Back end Developer,3.0,80000.0,Australia,Australian,0.0,1.05,76190.47619047618,0
27.0,Male,,Bachelor's Degree,Back end Developer,3.0,80000.0,Australia,Asian,0.0,1.05,76190.47619047618,0
27.0,Male,0.0,Unknown,Back end Developer,4.0,80247.0,Australia,White,0.0,1.05,76425.71428571428,0
27.0,Male,0.0,Unknown,Back end Developer,4.0,80247.0,Australia,Australian,0.0,1.05,76425.71428571428,0
27.0,Male,5.0,High School,Back end Developer,4.0,80247.0,Australia,White,0.0,1.05,76425.71428571428,0
27.0,Male,5.0,High School,Back end Developer,4.0,80247.0,Australia,Australian,0.0,1.05,76425.71428571428,0
30.0,Male,1.0,Bachelors,Back end Developer,5.0,100000.0,Australia,Australian,0.0,1.05,95238.09523809524,0
30.0,Male,1.0,Bachelors,Back end Developer,5.0,100000.0,Australia,Asian,0.0,1.05,95238.09523809524,0
30.0,Male,1.0,Bachelors,Back end Developer,5.0,100000.0,Australia,White,0.0,1.05,95238.09523809524,0
30.0,Male,,Bachelor's Degree,Back end Developer,5.0,100000.0,Australia,Australian,0.0,1.05,95238.09523809524,0
30.0,Male,,Bachelor's Degree,Back end Developer,5.0,100000.0,Australia,Asian,0.0,1.05,95238.09523809524,0
30.0,Male,,Bachelor's Degree,Back end Developer,5.0,100000.0,Australia,White,0.0,1.05,95238.09523809524,0
32.0,Male,2.0,Masters,Back end Developer,6.0,130000.0,Australia,Asian,0.0,1.05,123809.5238095238,0
30.0,Female,2.0,Masters,Back end Developer,6.0,130000.0,Australia,Australian,0.0,1.05,123809.5238095238,0
34.0,Male,1.0,Bachelors,Back end Developer,6.0,120000.0,Australia,Asian,0.0,1.05,114285.71428571428,0
32.0,Male,2.0,Masters,Back end Developer,6.0,130000.0,Australia,Australian,0.0,1.05,123809.5238095238,0
32.0,Male,,Master's Degree,Back end Developer,6.0,130000.0,Australia,Asian,0.0,1.05,123809.5238095238,0
30.0,Female,,Master's Degree,Back end Developer,6.0,130000.0,Australia,Australian,0.0,1.05,123809.5238095238,0
34.0,Male,,Bachelor's Degree,Back end Developer,6.0,120000.0,Australia,Asian,0.0,1.05,114285.71428571428,0
32.0,Male,,Master's Degree,Back end Developer,6.0,130000.0,Australia,Australian,0.0,1.05,123809.5238095238,0
35.0,Male,1.0,Bachelors,Back end Developer,8.0,140000.0,Australia,Asian,0.0,1.05,133333.3333333333,0
35.0,Male,1.0,Bachelors,Back end Developer,8.0,140000.0,Australia,Australian,0.0,1.05,133333.3333333333,0
34.0,Male,2.0,Masters,Back end Developer,8.0,140000.0,Australia,Australian,0.0,1.05,133333.3333333333,0
34.0,Male,2.0,Masters,Back end Developer,8.0,140000.0,Australia,White,0.0,1.05,133333.3333333333,0
31.0,Male,1.0,Bachelors,Back end Developer,8.0,100052.0,Australia,Australian,0.0,1.05,95287.61904761904,0
35.0,Male,,Bachelor's Degree,Back end Developer,8.0,140000.0,Australia,Asian,0.0,1.05,133333.3333333333,0
35.0,Male,,Bachelor's Degree,Back end Developer,8.0,140000.0,Australia,Australian,0.0,1.05,133333.3333333333,0
34.0,Male,,Master's Degree,Back end Developer,8.0,140000.0,Australia,Australian,0.0,1.05,133333.3333333333,0
34.0,Male,,Master's Degree,Back end Developer,8.0,140000.0,Australia,White,0.0,1.05,133333.3333333333,0
31.0,Other,5.0,High School,Back end Developer,8.0,104127.0,Australia,White,0.0,1.05,99168.57142857142,0
31.0,Male,,Bachelor's Degree,Back end Developer,8.0,100052.0,Australia,Australian,0.0,1.05,95287.61904761904,0
36.0,Male,2.0,Masters,Back end Developer,9.0,150000.0,Australia,Australian,0.0,1.05,142857.14285714284,0
36.0,Male,2.0,Masters,Back end Developer,9.0,150000.0,Australia,Asian,0.0,1.05,142857.14285714284,0
33.0,Female,2.0,Masters,Back end Developer,9.0,124141.0,Australia,Australian,0.0,1.05,118229.5238095238,0
36.0,Male,,Master's Degree,Back end Developer,9.0,150000.0,Australia,Australian,0.0,1.05,142857.14285714284,0
36.0,Male,,Master's Degree,Back end Developer,9.0,150000.0,Australia,Asian,0.0,1.05,142857.14285714284,0
33.0,Female,,Master's Degree,Back end Developer,9.0,124141.0,Australia,Australian,0.0,1.05,118229.5238095238,0
38.0,Female,2.0,Masters,Back end Developer,10.0,155000.0,Australia,Asian,0.0,1.05,147619.0476190476,0
38.0,Female,2.0,Masters,Back end Developer,10.0,155000.0,Australia,Australian,0.0,1.05,147619.0476190476,0
35.0,Female,1.0,Bachelors,Back end Developer,10.0,114776.0,Australia,Asian,0.0,1.05,109310.47619047618,0
38.0,Female,,Master's Degree,Back end Developer,10.0,155000.0,Australia,Asian,0.0,1.05,147619.0476190476,0
38.0,Female,,Master's Degree,Back end Developer,10.0,155000.0,Australia,Australian,0.0,1.05,147619.0476190476,0
35.0,Female,,Bachelor's Degree,Back end Developer,10.0,114776.0,Australia,Asian,0.0,1.05,109310.47619047618,0
46.0,Female,1.0,Bachelors,Back end Developer,19.0,150248.0,Australia,Asian,0.0,1.05,143093.3333333333,0
46.0,Female,1.0,Bachelors,Back end Developer,19.0,150729.0,Australia,Asian,0.0,1.05,143551.42857142858,0
46.0,Female,,Bachelor's Degree,Back end Developer,19.0,150248.0,Australia,Asian,0.0,1.05,143093.3333333333,0
46.0,Female,,Bachelor's Degree,Back end Developer,19.0,150729.0,Australia,Asian,0.0,1.05,143551.42857142858,0
50.0,Male,1.0,Bachelors,Back end Developer,23.0,175966.0,Australia,Asian,0.0,1.05,167586.66666666666,0
50.0,Male,,Bachelor's Degree,Back end Developer,23.0,175966.0,Australia,Asian,0.0,1.05,167586.66666666666,0
24.0,Female,1.0,Bachelors,Back end Developer,1.0,60000.0,Canada,White,0.0,1.1,54545.454545454544,0
24.0,Female,2.0,Masters,Back end Developer,1.0,60000.0,Canada,Asian,0.0,1.1,54545.454545454544,0
24.0,Male,1.0,Bachelors,Back end Developer,1.0,55000.0,Canada,White,0.0,1.1,49999.99999999999,0
24.0,Female,,Bachelor's Degree,Back end Developer,1.0,60000.0,Canada,White,0.0,1.1,54545.454545454544,0
24.0,Female,,Master's Degree,Back end Developer,1.0,60000.0,Canada,Asian,0.0,1.1,54545.454545454544,0
24.0,Male,,Bachelor's Degree,Back end Developer,1.0,55000.0,Canada,White,0.0,1.1,49999.99999999999,0
26.0,Female,2.0,Masters,Back end Developer,2.0,70000.0,Canada,White,0.0,1.1,63636.36363636363,0
27.0,Female,2.0,Masters,Back end Developer,2.0,70000.0,Canada,White,0.0,1.1,63636.36363636363,0
27.0,Female,2.0,Masters,Back end Developer,2.0,70000.0,Canada,Black,0.0,1.1,63636.36363636363,0
26.0,Male,1.0,Bachelors,Back end Developer,2.0,65000.0,Canada,Asian,0.0,1.1,59090.90909090909,0
24.0,Male,1.0,Bachelors,Back end Developer,2.0,63901.0,Canada,White,0.0,1.1,58091.81818181818,0
26.0,Male,1.0,Bachelors,Back end Developer,2.0,63789.0,Canada,Black,0.0,1.1,57989.99999999999,0
26.0,Female,,Master's Degree,Back end Developer,2.0,70000.0,Canada,White,0.0,1.1,63636.36363636363,0
27.0,Female,,Master's Degree,Back end Developer,2.0,70000.0,Canada,White,0.0,1.1,63636.36363636363,0
27.0,Female,,Master's Degree,Back end Developer,2.0,70000.0,Canada,Black,0.0,1.1,63636.36363636363,0
26.0,Male,,Bachelor's Degree,Back end Developer,2.0,65000.0,Canada,Asian,0.0,1.1,59090.90909090909,0
24.0,Male,,Bachelor's Degree,Back end Developer,2.0,63901.0,Canada,White,0.0,1.1,58091.81818181818,0
26.0,Male,,Bachelor's Degree,Back end Developer,2.0,63789.0,Canada,Black,0.0,1.1,57989.99999999999,0
26.0,Female,2.0,Masters,Back end Developer,3.0,90000.0,Canada,Black,0.0,1.1,81818.18181818181,0
29.0,Female,2.0,Masters,Back end Developer,3.0,90000.0,Canada,Black,0.0,1.1,81818.18181818181,0
27.0,Male,1.0,Bachelors,Back end Developer,3.0,85000.0,Canada,Black,0.0,1.1,77272.72727272726,0
27.0,Female,1.0,Bachelors,Back end Developer,3.0,80000.0,Canada,Asian,0.0,1.1,72727.27272727272,0
27.0,Male,1.0,Bachelors,Back end Developer,3.0,80000.0,Canada,Black,0.0,1.1,72727.27272727272,0
27.0,Male,1.0,Bachelors,Back end Developer,3.0,80000.0,Canada,Asian,0.0,1.1,72727.27272727272,0
27.0,Male,1.0,Bachelors,Back end Developer,3.0,80000.0,Canada,White,0.0,1.1,72727.27272727272,0
26.0,Male,1.0,Bachelors,Back end Developer,3.0,75072.0,Canada,Asian,0.0,1.1,68247.27272727272,0
26.0,Female,,Master's Degree,Back end Developer,3.0,90000.0,Canada,Black,0.0,1.1,81818.18181818181,0
29.0,Female,,Master's Degree,Back end Developer,3.0,90000.0,Canada,Black,0.0,1.1,81818.18181818181,0
27.0,Male,,Bachelor's Degree,Back end Developer,3.0,85000.0,Canada,Black,0.0,1.1,77272.72727272726,0
27.0,Female,,Bachelor's Degree,Back end Developer,3.0,80000.0,Canada,Asian,0.0,1.1,72727.27272727272,0
27.0,Male,,Bachelor's Degree,Back end Developer,3.0,80000.0,Canada,Black,0.0,1.1,72727.27272727272,0
27.0,Male,,Bachelor's Degree,Back end Developer,3.0,80000.0,Canada,Asian,0.0,1.1,72727.27272727272,0
27.0,Male,,Bachelor's Degree,Back end Developer,3.0,80000.0,Canada,White,0.0,1.1,72727.27272727272,0
26.0,Male,,Bachelor's Degree,Back end Developer,3.0,75072.0,Canada,Asian,0.0,1.1,68247.27272727272,0
27.0,Female,2.0,Masters,Back end Developer,4.0,73938.0,Canada,White,0.0,1.1,67216.36363636363,0
28.0,Male,1.0,Bachelors,Back end Developer,4.0,71699.0,Canada,Asian,0.0,1.1,65180.90909090909,0
28.0,Male,1.0,Bachelors,Back end Developer,4.0,72389.0,Canada,White,0.0,1.1,65808.18181818181,0
27.0,Female,,Master's Degree,Back end Developer,4.0,73938.0,Canada,White,0.0,1.1,67216.36363636363,0
28.0,Male,,Bachelor's Degree,Back end Developer,4.0,71699.0,Canada,Asian,0.0,1.1,65180.90909090909,0
28.0,Male,,Bachelor's Degree,Back end Developer,4.0,72389.0,Canada,White,0.0,1.1,65808.18181818181,0
30.0,Male,1.0,Bachelors,Back end Developer,5.0,100000.0,Canada,Asian,0.0,1.1,90909.0909090909,0
30.0,Male,1.0,Bachelors,Back end Developer,5.0,100000.0,Canada,White,0.0,1.1,90909.0909090909,0
30.0,Male,1.0,Bachelors,Back end Developer,5.0,100000.0,Canada,Black,0.0,1.1,90909.0909090909,0
30.0,Male,,Bachelor's Degree,Back end Developer,5.0,100000.0,Canada,Asian,0.0,1.1,90909.0909090909,0
30.0,Male,,Bachelor's Degree,Back end Developer,5.0,100000.0,Canada,White,0.0,1.1,90909.0909090909,0
30.0,Male,,Bachelor's Degree,Back end Developer,5.0,100000.0,Canada,Black,0.0,1.1,90909.0909090909,0
34.0,Male,2.0,Masters,Back end Developer,6.0,125000.0,Canada,White,0.0,1.1,113636.36363636363,0
32.0,Male,2.0,Masters,Back end Developer,6.0,130000.0,Canada,Asian,0.0,1.1,118181.81818181818,0
34.0,Male,,Master's Degree,Back end Developer,6.0,125000.0,Canada,White,0.0,1.1,113636.36363636363,0
32.0,Male,,Master's Degree,Back end Developer,6.0,130000.0,Canada,Asian,0.0,1.1,118181.81818181818,0
35.0,Male,1.0,Bachelors,Back end Developer,8.0,140000.0,Canada,Black,0.0,1.1,127272.72727272726,0
34.0,Male,2.0,Masters,Back end Developer,8.0,140000.0,Canada,White,0.0,1.1,127272.72727272726,0
34.0,Male,2.0,Masters,Back end Developer,8.0,140000.0,Canada,Black,0.0,1.1,127272.72727272726,0
31.0,Male,2.0,Masters,Back end Developer,8.0,111535.0,Canada,Black,0.0,1.1,101395.45454545454,0
31.0,Male,1.0,Bachelors,Back end Developer,8.0,100679.0,Canada,White,0.0,1.1,91526.36363636363,0
35.0,Male,,Bachelor's Degree,Back end Developer,8.0,140000.0,Canada,Black,0.0,1.1,127272.72727272726,0
34.0,Male,,Master's Degree,Back end Developer,8.0,140000.0,Canada,White,0.0,1.1,127272.72727272726,0
34.0,Male,,Master's Degree,Back end Developer,8.0,140000.0,Canada,Black,0.0,1.1,127272.72727272726,0
31.0,Male,,Master's Degree,Back end Developer,8.0,111535.0,Canada,Black,0.0,1.1,101395.45454545454,0
31.0,Male,,Bachelor's Degree,Back end Developer,8.0,100679.0,Canada,White,0.0,1.1,91526.36363636363,0
36.0,Male,2.0,Masters,Back end Developer,9.0,150000.0,Canada,White,0.0,1.1,136363.63636363635,0
36.0,Male,2.0,Masters,Back end Developer,9.0,150000.0,Canada,Asian,0.0,1.1,136363.63636363635,0
36.0,Male,,Master's Degree,Back end Developer,9.0,150000.0,Canada,White,0.0,1.1,136363.63636363635,0
36.0,Male,,Master's Degree,Back end Developer,9.0,150000.0,Canada,Asian,0.0,1.1,136363.63636363635,0
38.0,Male,1.0,Bachelors,Back end Developer,14.0,136449.0,Canada,White,0.0,1.1,124044.54545454544,0
38.0,Male,,Bachelor's Degree,Back end Developer,14.0,136449.0,Canada,White,0.0,1.1,124044.54545454544,0
46.0,Female,1.0,Bachelors,Back end Developer,18.0,155795.0,Canada,Asian,0.0,1.1,141631.81818181818,0
46.0,Female,,Bachelor's Degree,Back end Developer,18.0,155795.0,Canada,Asian,0.0,1.1,141631.81818181818,0
